site,urban,forest,crop,shrub,wet,area,wtrs_slp,str_len,str_slp,hg_c,hg_d,hg_b,hg_cd,dc_1,dc_2,dc_3,dc_4,aws_150,elev_wtd,tree_hr,tree_hl,str_azt,str_wdth,str_sins,site_mar,site_lat,st_long,st_elev,pp_avge,tm_avg,Tw_avge
1918,55870,260448,132433,183770,13580,582.11,9.29,39.1,9.286,444929,39852,40745,120575,277735,48198,207939,112230,971.09,203.13,5.1,11.7,208.038,59.51,1.115,74.9,45.51959,-123.0103,42.96,0.537911771,18.24004802,17.66674699
1919,3142,18871,3057,13541,2083,36.65,11.9,22.1,6.781,21229,215,17890,1359,8272,1574,30848,0,1009.51,158.83,8,7.7,133.543,23.3,1.081,63.6,45.61086,-123.13649,59.13,0.534066631,18.12237464,17.37963855
1925,27302,194734,77190,122613,7599,386.99,10.45,34.1,5.344,297479,21620,45053,65286,189598,26258,152934,60648,969.97,218.49,13.1,11.4,211.443,46.2,1.08,71.8,45.53939,-123.0408,45.33,0.51383706,17.95526058,17.60542169
2028,14626,101687,32605,69220,4188,200.34,11.03,30.8,4.798,98730,3721,98315,21560,69916,10973,127128,14308,1036.28,195.33,7.2,5.7,143.311,31.5,1.077,67.4,45.57627,-123.09263,48.84,0.492515756,17.88962241,17.98855422
2029,3153,19223,3509,13902,2166,37.80,11.73,23.7,6.917,22031,216,18342,1364,9029,1580,31344,0,1009.51,156.49,8,7.8,144.959,27.3,1.077,63.8,45.59725,-123.14031,56.06,0.492969573,17.68497507,17.37831325
2030,8380,77314,3368,42629,913,119.29,13.06,22,6.795,54916,560,76072,1055,26543,1004,104446,611,1034.84,250.26,8,7.7,220.912,23.3,1.076,64.2,45.60933,-123.13125,58.18,0.49016037,18.24699046,17.33301205
2031,6497,71837,1102,37448,673,105.76,13.42,15.3,6.62,66968,517,50044,29,13620,517,103391,29,1022.24,263.29,4.5,8,102.199,21.2,1.034,63.5,45.64936,-123.13378,62.62,0.474726471,18.22294049,17.07156627
2032,3156,41192,0,18802,234,56.98,14.36,9.3,6.982,40220,12,23074,78,391,90,62599,304,944.03,272.1,7.6,7.9,172.088,17.3,1.012,58.6,45.67847,-123.19072,77.87,0.443880937,18.10160417,16.24120482
2033,486,8163,0,2445,5,9.95,16.7,6.9,10.371,7888,0,3210,1,0,1,11062,36,481.86,308.18,25.3,27.2,209.681,5.2,1.022,58.3,45.69943,-123.19417,86.78,0.447442131,18.19125248,15.46433735
2034,860,8768,0,4664,51,12.88,15.23,5.3,8.497,9366,0,4977,0,203,0,14140,0,295.39,260.95,22.9,21.1,210.562,7.6,1.019,57.4,45.68447,-123.20412,80.6,0.474098306,17.98163308,13.86686747
